Marca,Modelo,Operador,Tipo de red,Intensidad,Tasa de bajada,Tasa de subida,Tasa de perdida, RTTAvg, RTTmin,RTTmax, Jitter
  Motorola,    Moto M,AME,   UMTS,-56,1192.63,426.23,0,244,128,278,288
      Otro,Lumia Icon,AME,   HSPA,-101,2079.14,1280.28,11.023565,218,8,244,251
  Motorola,     XT919,AME,   GPRS,-110,39.59,29.87,38.18182,1046,8,1399,1043
  Motorola,    Moto M,AME,   HSPA,-65,3246.02,1996.62,9.607602,194,7,245,251
      Otro,        N9,AME,   GPRS,-81,72.7,53.86,9.713396,1184,12,1398,1041
        Lg,   GPro L9,MOV,   GPRS,-139,8.73,7.01,38.18182,1045,10,1400,1041
  Motorola,  Droid HD,AME,       ,0,0,0,0,0,0,0,0
      Sony,        T3,AME,   EDGE,-96,154.61,101.82,36.445034,1322,657,1399,1035
        Lg,   GPro L9,AME,   GPRS,-58,83.36,57.35,28.505766,1120,12,1401,1038
   Samsung,        S4,AME,   CDMA,-98,813.75,288.93,38.18182,204,6,278,290
     Apple,        5S,MOV,   UMTS,-112,581.93,206.27,41.909924,216,127,275,289
   Samsung,      Note,AME,   EDGE,-56,215.22,147.07,36.37862,1109,7,1398,1041
        Lg,   GPro L9,AME,   HSPA,-134,594.99,366.27,14.777277,204,114,244,253
   Samsung,        S4,AME,  HSPA+,-104,3142.65,2244.37,38.18182,154,87,183,190
  Motorola,      Defy,AME,   UMTS,-75,1192.66,422.25,27.984091,247,13,277,278
      Otro,Lumia Icon,MOV,   HSPA,-110,1675.24,1030.84,38.18182,241,238,244,6
        Lg,     Lucid,MOV,   GPRS,-135,13.66,10,28.225111,1119,6,1400,1041
   Samsung,       Ace,AME,   HSPA,-70,3251.91,2001.43,19.925613,230,129,244,5
   Samsung,        S4,AME,       ,0,0,0,0,0,0,0,0
      Sony,        SP,MOV,   EDGE,-83,194.84,128.93,4.304437,1266,748,1399,6
   Samsung,       Ace,AME,  EV-DO,-92,907.24,324.37,24.721403,246,9,277,288
      Otro, Brigadier,AME,   CDMA,-93,892.31,319.57,34.355968,231,128,276,288
   Samsung,       Ace,AME,   EDGE,-106,124.33,83.27,43.924072,1333,750,1401,7
      Sony,        SP,AME,  HSPA+,-88,4305.74,3071.89,2.651088,165,15,185,181
        Lg, Intuition,MOV,   UMTS,-134,217.78,77.49,22.597158,164,7,276,289
  Motorola,  Droid HD,AME,   UMTS,-96,845.67,302.51,23.504919,245,128,275,288
      Otro,        N9,AME,       ,0,0,0,0,0,0,0,0
      Otro, Brigadier,AME,   UMTS,-85,1026.6,367.77,10.991016,234,5,275,290
  Motorola,      Defy,AME,   HSPA,-50,3248.78,1999.51,11.942266,194,5,245,256
        Lg,        G3,AME,   GPRS,-55,77.29,59.23,4.996183,1129,8,1398,1041
      Sony,        T3,AME,   EDGE,-116,94.49,63.99,38.18182,1258,12,1401,1036
  Motorola,    Moto M,MOV,   UMTS,-83,1060.43,377.41,32.173431,190,8,276,288
    Huawei,      Y530,MOV,   GPRS,-92,61.79,43.63,4.447739,1120,10,1399,1038
     Apple,        5S,AME,   HSPA,-91,2528.65,1557.96,10.499377,220,130,245,5
     Apple,        5S,MOV,   UMTS,-83,1057.82,378.65,38.339363,247,9,277,287
   Samsung,        S4,AME,   GPRS,-102,51.46,36.29,35.25449,1044,6,1399,1040
      Otro,        N9,IUS,   EDGE,-140,21.32,14.82,38.18182,1332,750,1399,4
    Huawei,    Ascend,IUS,  HSPA+,-60,5248.78,3748.12,4.593155,165,15,184,179
        Lg,        G3,AME,   UMTS,-68,1192.23,421.99,3.490443,272,269,275,6
        Lg,        G3,AME,   EDGE,-79,205.42,136.41,38.18182,1257,7,1399,1039
      Otro,        N9,AME,       ,0,0,0,0,0,0,0,0
    Huawei,       H3C,MOV,   GPRS,-63,79.53,58.34,10.741821,1046,10,1400,1038
  Motorola,    Moto M,AME,   GPRS,-140,7.74,5.71,39.522217,1332,748,1399,5
      Sony,        SP,MOV,   GPRS,-80,70.57,54.41,38.18182,1110,8,1399,1040
  Motorola,    Moto M,AME,   EDGE,-71,218.17,145.14,18.306734,1193,14,1401,1038
     Apple,4,MOV,   UMTS,-86,1008.76,360.76,38.18182,232,7,276,287
  Motorola,  Droid HD,AME,       ,0,0,0,0,0,0,0,0
        Lg,        G3,MOV,   EDGE,-81,195.37,134.98,17.758928,1129,7,1399,1042
      Sony,        Z3,IUS,   EDGE,-97,129.11,101.07,24.671915,1109,5,1399,1040
     Apple,        5C,MOV,   EDGE,-59,214.93,141.08,29.137215,1322,656,1399,1037
     Apple,4,AME,   HSPA,-111,1630.96,1003.1,10.85063,217,8,242,250
   Samsung,      Note,AME,   EDGE,-101,140.21,93.05,10.21826,1203,748,1401,6
      Otro,        N9,AME,   GPRS,-76,78.77,61.57,21.580608,969,5,1397,1040
  Motorola,     OneM8,NXT,   iDen,-65,38.64,10.94,16.433342,1515,11,1776,1320
     Apple,        5S,AME,   GPRS,-85,73.02,48.87,28.816288,1111,10,1401,1041
     Apple,        5C,AME,  HSPA+,-110,2706.16,1933.01,38.18182,165,8,185,186
      Otro,Lumia Icon,AME,   EDGE,-93,161.1,107.16,16.137079,1129,11,1399,1036
        Lg,   GPro L9,MOV,       ,0,0,0,0,0,0,0,0
      Otro,Lumia Icon,MOV,  HSPA+,-137,743.2,530.82,37.15234,182,177,184,8
  Motorola,  Droid HD,AME,   EDGE,-93,163.25,107.45,1.366014,1183,7,1399,1043
     Apple,        5S,AME,   EDGE,-106,124.44,82.16,38.18182,1257,10,1400,1035
      Otro,     OneM8,MOV,   EDGE,-87,181.28,119.91,12.327492,1396,1393,1399,6
     Apple,4,AME,   UMTS,-66,1194.48,425.79,0,205,9,275,287
     Apple,        5S,AME,   GPRS,-62,82.58,64.45,36.686794,1184,7,1401,1042
        Lg,        G3,MOV,   GPRS,-96,56.79,42.04,25.656086,1183,5,1401,1043
        Lg,   GPro L9,MOV,   GPRS,-94,57.43,45.84,38.18182,1065,9,1401,1039
  Motorola,  Droid HD,AME,   UMTS,-122,415.42,149.04,38.18182,234,8,275,285
  Motorola,    Moto M,AME,   HSPA,-65,3248.07,2000.55,7.912147,184,8,245,250
        Lg, Intuition,MOV,       ,0,0,0,0,0,0,0,0
   Samsung,      Note,AME,   GPRS,-109,43.13,31.37,12.993261,1182,7,1401,1043
   Samsung,        S4,AME,   CDMA,-76,1174.92,420.88,8.280808,230,128,275,288
  Motorola,      Defy,AME,    LTE,-63,10400.27,7902.41,29.55057,124,8,155,154
  Motorola,  Droid HD,AME,  EV-DO,-62,1194.52,426.23,0,272,270,275,5
   Samsung,        S3,AME,   UMTS,-77,1159.16,415.01,30.224075,235,10,277,281
   Samsung,      Note,AME,   EDGE,-88,179.26,121.36,42.65736,1185,12,1400,1039
      Otro,        N9,MOV,   EDGE,-103,132.22,91.07,35.321636,1183,13,1400,1038
    Lenovo,     A369i,AME,   EDGE,-50,214.3,143.46,20.121939,1257,13,1400,1038
      Otro,     OneM8,MOV,       ,0,0,0,0,0,0,0,0
      Sony,        Z3,MOV,   GPRS,-74,70.38,61.24,48.615398,1332,749,1401,7
      Otro,Lumia Icon,AME,   UMTS,-105,697.63,248.26,31.114445,203,129,276,288
     Apple,        5S,AME,   HSPA,-110,1674.82,1030.58,11.643207,231,131,245,6
   Samsung,        S4,AME,   GPRS,-102,48.8,37.15,10.021627,1099,650,1400,1043
        Lg,     Lucid,AME,   GPRS,-60,81.86,56.83,3.892267,1269,749,1401,7
   Samsung,        S3,AME,   EDGE,-62,218.93,147.08,2.489823,1193,9,1401,1041
      Otro, Brigadier,MOV,   GPRS,-124,25.49,18.69,38.18182,1332,748,1400,8
      Otro,        N9,AME,   UMTS,-118,484.68,174.44,38.18182,210,13,275,277
  Motorola,  Droid HD,MOV,       ,0,0,0,0,0,0,0,0
  Motorola,    Moto M,AME,   HSPA,-111,1629.78,1002.09,7.025403,207,13,243,242
   Samsung,        S4,AME,   HSPA,-58,3249.97,2002.31,0.507613,217,9,244,248
      Sony,        SP,AME,    LTE,-108,5648.53,4288.63,38.18182,145,77,156,149
      Otro,        N9,AME,   EDGE,-104,128.9,87.72,2.846723,1321,652,1398,1039
  Motorola,    Moto M,AME,   EDGE,-129,54.72,35.86,41.335922,1119,9,1399,1041
     Apple,6,AME,   HSPA,-52,3246.69,1997.33,0,206,14,242,245
    Huawei,    Ascend,IUS,   CDMA,-78,1142.98,408.4,4.932766,170,6,276,289
   Samsung,        S3,AME,   UMTS,-120,450.14,160.56,20.591568,244,129,276,285
      Otro,Lumia Icon,IUS,   CDMA,-92,911.41,323.62,12.339619,245,133,276,279
        Lg,   GPro L9,IUS,       ,0,0,0,0,0,0,0,0
      Sony,        Z1,AME,   GPRS,-134,14.81,10.8,22.22398,1109,11,1399,1040
   Samsung,        S3,AME,   EDGE,-52,215.77,145.59,7.661995,1257,9,1400,1043
   Samsung,       Ace,AME,   EDGE,-53,217.49,144.19,31.320642,1036,5,1400,1043
      Otro, Brigadier,MOV,   GPRS,-98,55.44,41,31.833994,1248,652,1399,1039
   Samsung,      Note,AME,   CDMA,-133,234.55,83.96,19.069527,248,10,276,285
      Otro,        N9,AME,   GPRS,-104,49.44,36.02,38.18182,1109,7,1399,1041
   Samsung,        S4,AME,   CDMA,-120,449.88,160.14,28.402208,247,9,276,284
  Motorola,      Defy,AME,   HSPA,-102,2035.71,1251.84,19.107622,217,12,244,248
   Samsung,      Note,AME,   EDGE,-76,213.01,143.14,6.429329,1322,654,1399,1039
      Sony,        Z3,IUS,   EDGE,-85,158.54,127.62,51.893902,1119,6,1399,1043
  Motorola,  Droid HD,AME,       ,0,0,0,0,0,0,0,0
   Samsung,        S3,AME,   HSPA,-122,1135.7,699.22,38.18182,195,6,245,254
  Motorola,    Moto M,AME,   CDMA,-123,400.97,142.22,38.18182,203,129,276,288
      Sony,        Z3,AME,   CDMA,-100,662.35,278.53,30.815447,195,8,275,285
     Apple,        5S,AME,   GPRS,-81,74.5,54.37,4.35983,1249,650,1399,1044
        Lg, Intuition,MOV,   EDGE,-71,219.59,145.03,1.290598,1184,11,1400,1037
   Samsung,      Note,AME,   GPRS,-62,78.06,60.2,39.77792,1396,1391,1402,5
  Motorola,  Droid HD,AME,   HSPA,-76,3205.34,1974.09,8.320412,205,8,245,249
        Lg,   GPro L9,MOV,   UMTS,-107,665.02,233.76,41.375656,231,131,275,283
     Apple,4,MOV,       ,0,0,0,0,0,0,0,0
   Samsung,       Ace,AME,   GPRS,-118,31.32,24.16,31.08371,1194,15,1399,1036
        Lg,        G3,MOV,   EDGE,-61,218.27,146.05,38.020893,981,9,1400,1040
     Apple,4,NXT,   iDen,-103,22.42,6.45,9.67818,1678,829,1776,1320
  Motorola,     XT919,AME,   GPRS,-95,57.77,42.51,38.18182,1194,10,1400,1036
  Motorola,      Defy,AME,   EDGE,-106,123.43,82.16,39.650517,1259,13,1401,1037
   Samsung,       Ace,AME,   EDGE,-80,204.13,136.17,3.302086,1183,10,1398,1041
    Huawei,    Ascend,MOV,   EDGE,-102,134.59,89.48,11.852382,1055,5,1399,1043
      Sony,        Z1,AME,   EDGE,-65,218.52,144.63,0,1110,11,1400,1040
     Apple,        5C,AME,   HSPA,-74,3251.91,1997.92,40.597492,230,134,243,5
        Lg, Intuition,MOV,   EDGE,-95,156.18,104.53,38.18182,1173,651,1399,1042
      Sony,        SP,MOV,       ,0,0,0,0,0,0,0,0
    Huawei,      G730,MOV,   EDGE,-77,211.81,141.26,0.39697,1194,9,1400,1038
   Samsung,        S3,AME,   GPRS,-96,58.34,40.67,33.685955,1396,1393,1400,4
        Lg,        G3,MOV,   UMTS,-139,135.93,49.06,4.315242,246,131,276,286
      Otro, Brigadier,MOV,   UMTS,-139,136.05,48.41,26.747332,234,11,277,277
      Otro,Lumia Icon,AME,   CDMA,-104,715.07,253.24,25.227825,246,133,276,282
   Samsung,       Ace,AME,   EDGE,-107,120.49,80.36,19.733805,1258,10,1400,1042
      Otro,     OneM8,MOV,   EDGE,-101,139.66,92.67,0.899206,1120,8,1400,1040
        Lg,   GPro L9,AME,   EDGE,-54,214.79,145.26,41.384449,1110,13,1399,1036
  Motorola,     XT919,AME,   GPRS,-102,47.42,37.82,16.317322,1323,654,1402,1038
  Motorola,      Defy,AME,       ,0,0,0,0,0,0,0,0
      Otro,Lumia Icon,MOV,   UMTS,-71,1194.95,427.39,43.590199,274,271,277,7
   Samsung,        S3,AME,   CDMA,-68,1195.38,429.53,16.330816,260,146,276,6
  Motorola,  Droid HD,MOV,    LTE,-70,10399.82,7904.56,19.234537,146,83,157,5
  Motorola,    Moto M,AME,   GPRS,-54,80.88,61.11,15.664581,1267,750,1399,4
     Apple,        5S,MOV,   EDGE,-97,150.02,102.17,11.181712,1258,8,1399,1043
   Samsung,      Note,AME,   HSPA,-76,3206.73,1970.57,5.472434,216,115,243,247
   Samsung,      Note,AME,   EDGE,-81,199.64,131.14,0,1267,748,1398,5
        Lg,   GPro L9,IUS,   GPRS,-89,65.79,47.69,20.018848,1184,10,1399,1040
        Lg,     Lucid,MOV,   GPRS,-56,78.35,60.27,12.223082,1193,5,1400,1043
    Huawei,      G730,AME,       ,0,0,0,0,0,0,0,0
  Motorola,      Defy,IUS,   CDMA,-85,1027.43,367.05,20.878124,235,9,277,281
        Lg,        G3,AME,   EDGE,-111,109.52,73.28,39.755894,1193,9,1399,1039
      Sony,        Z1,AME,   GPRS,-132,16.39,13.45,11.386314,1184,8,1400,1043
     Apple,6,IUS,   EDGE,-51,218.7,146.81,15.978831,1268,750,1399,2
   Samsung,       Ace,AME,   CDMA,-72,1192.72,422.79,42.237965,234,10,276,282
        Lg, Intuition,MOV,   GPRS,-125,23.83,18.6,36.024578,1128,8,1400,1039
   Samsung,        S3,AME,   GPRS,-84,69.08,53.77,16.860409,1119,8,1401,1039
    Lenovo,      S820,AME,   GPRS,-97,57.07,42.31,38.944721,1267,750,1401,3
      Otro,Lumia Icon,IUS,   CDMA,-75,1188.98,425.03,8.167557,220,6,276,288
     Apple,        5S,AME,   CDMA,-86,1010.05,359.74,10.301438,245,128,276,289
      Otro,Lumia Icon,AME,       ,0,0,0,0,0,0,0,0
  Motorola,Lumia Icon,NXT,  HSPA+,-107,2924.76,2089.96,32.081276,148,10,185,185
    Lenovo,      S820,AME,   GPRS,-122,28.51,19.98,38.18182,1248,651,1400,1043
  Motorola,  Droid HD,AME,   HSPA,-102,2034.25,1253.96,36.681812,194,6,245,255
      Otro,        N9,MOV,   GPRS,-84,71.27,55,0,1184,9,1400,1039
   Samsung,      Note,AME,   GPRS,-113,37.37,28.63,9.983318,1194,12,1400,1038
    Lenovo,     VibeX,AME,  EV-DO,-102,748.28,268.23,3.145153,208,8,276,283
      Sony,        Z3,MOV,   EDGE,-99,121.68,96.72,49.71442,1322,652,1401,1042
   Samsung,       Ace,AME,  HSPA+,-84,4595.45,3282.74,31.308237,164,13,184,179
